,lgID,teamID,franchID,name
2803,NL,SLN,STL,St. Louis Cardinals
2804,NL,WAS,WSN,Washington Nationals
2805,AL,BAL,BAL,Baltimore Orioles
2806,AL,BOS,BOS,Boston Red Sox
2807,AL,CHA,CHW,Chicago White Sox
2808,AL,CLE,CLE,Cleveland Indians
2809,AL,DET,DET,Detroit Tigers
2810,AL,HOU,HOU,Houston Astros
2811,AL,KCA,KCR,Kansas City Royals
2812,AL,LAA,ANA,Los Angeles Angels of Anaheim
2813,AL,MIN,MIN,Minnesota Twins
2814,AL,NYA,NYY,New York Yankees
2815,AL,OAK,OAK,Oakland Athletics
2816,AL,SEA,SEA,Seattle Mariners
2817,AL,TBA,TBD,Tampa Bay Rays
2818,AL,TEX,TEX,Texas Rangers
2819,AL,TOR,TOR,Toronto Blue Jays
2820,NL,ARI,ARI,Arizona Diamondbacks
2821,NL,ATL,ATL,Atlanta Braves
2822,NL,CHN,CHC,Chicago Cubs
2823,NL,CIN,CIN,Cincinnati Reds
2824,NL,COL,COL,Colorado Rockies
2825,NL,LAN,LAD,Los Angeles Dodgers
2826,NL,MIA,FLA,Miami Marlins
2827,NL,MIL,MIL,Milwaukee Brewers
2828,NL,NYN,NYM,New York Mets
2829,NL,PHI,PHI,Philadelphia Phillies
2830,NL,PIT,PIT,Pittsburgh Pirates
2831,NL,SDN,SDP,San Diego Padres
2832,NL,SFN,SFG,San Francisco Giants
2833,NL,SLN,STL,St. Louis Cardinals
2834,NL,WAS,WSN,Washington Nationals
2835,AL,BAL,BAL,Baltimore Orioles
2836,AL,BOS,BOS,Boston Red Sox
2837,AL,CHA,CHW,Chicago White Sox
2838,AL,CLE,CLE,Cleveland Indians
2839,AL,DET,DET,Detroit Tigers
2840,AL,HOU,HOU,Houston Astros
2841,AL,KCA,KCR,Kansas City Royals
2842,AL,LAA,ANA,Los Angeles Angels of Anaheim
2843,AL,MIN,MIN,Minnesota Twins
2844,AL,NYA,NYY,New York Yankees
2845,AL,OAK,OAK,Oakland Athletics
2846,AL,SEA,SEA,Seattle Mariners
2847,AL,TBA,TBD,Tampa Bay Rays
2848,AL,TEX,TEX,Texas Rangers
2849,AL,TOR,TOR,Toronto Blue Jays
2850,NL,ARI,ARI,Arizona Diamondbacks
2851,NL,ATL,ATL,Atlanta Braves
2852,NL,CHN,CHC,Chicago Cubs
2853,NL,CIN,CIN,Cincinnati Reds
