,playerID,birthYear,birthMonth,birthDay,birthCity,birthCountry,birthState,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame
10925,lolicmi01,1940.0,9.0,12.0,Portland,USA,OR,,,,,,,Mickey,Lolich,Michael Stephen,170.0,73.0,B,L,1963-05-12,1979-09-23
10932,lombaer01,1908.0,4.0,6.0,Oakland,USA,CA,1977.0,9.0,26.0,USA,CA,Santa Cruz,Ernie,Lombardi,Ernesto Natali,230.0,75.0,R,R,1931-04-15,1947-09-17
10976,lopezal01,1908.0,8.0,20.0,Tampa,USA,FL,2005.0,10.0,30.0,USA,FL,Tampa,Al,Lopez,Alfonso Ramon,165.0,71.0,R,R,1928-09-27,1947-09-16
11182,lyonste01,1900.0,12.0,28.0,Lake Charles,USA,LA,1986.0,7.0,25.0,USA,LA,Sulphur,Ted,Lyons,Theodore Amar,200.0,71.0,B,R,1923-07-02,1946-05-19
11223,mackco01,1862.0,12.0,22.0,East Brookfield,USA,MA,1956.0,2.0,8.0,USA,PA,Philadelphia,Connie,Mack,Cornelius Alexander,150.0,73.0,R,R,1886-09-11,1896-08-29
11226,mackebi99,1897.0,7.0,27.0,Caldwell County,USA,TX,1965.0,9.0,22.0,USA,CA,Los Angeles,Biz,Mackey,James Raleigh,235.0,73.0,B,R,,
11247,macphla99,1890.0,2.0,3.0,Cass City,USA,MI,1975.0,10.0,1.0,USA,FL,Miami,Larry,MacPhail,Leland Stanford,,,,,,
11248,macphle99,1917.0,10.0,25.0,Nashville,USA,TN,2012.0,11.0,8.0,USA,FL,Delray Beach,Lee,MacPhail,Leland Stanford,,,,,,
11269,maddugr01,1966.0,4.0,14.0,San Angelo,USA,TX,,,,,,,Greg,Maddux,Gregory Alan,170.0,72.0,R,R,1986-09-03,2008-09-27
11421,manleef99,1897.0,3.0,27.0,Philadelphia,USA,PA,1981.0,4.0,16.0,USA,CA,Los Angeles,Effa,Manley,Effa,,,,,,
11453,mantlmi01,1931.0,10.0,20.0,Spavinaw,USA,OK,1995.0,8.0,13.0,USA,TX,Dallas,Mickey,Mantle,Mickey Charles,195.0,71.0,B,R,1951-04-17,1968-09-28
11461,manushe01,1901.0,7.0,20.0,Tuscumbia,USA,AL,1971.0,5.0,12.0,USA,FL,Sarasota,Heinie,Manush,Henry Emmett,200.0,73.0,L,L,1923-04-20,1939-05-22
11474,maranra01,1891.0,11.0,11.0,Springfield,USA,MA,1954.0,1.0,5.0,USA,NY,New York,Rabbit,Maranville,Walter James Vincent,155.0,65.0,R,R,1912-09-10,1935-09-29
11486,maricju01,1937.0,10.0,20.0,Laguna Verde,D.R.,Monte Cristi,,,,,,,Juan,Marichal,Juan Antonio,185.0,72.0,R,R,1960-07-19,1975-04-16
11495,marisro01,1934.0,9.0,10.0,Hibbing,USA,MN,1985.0,12.0,14.0,USA,TX,Houston,Roger,Maris,Roger Eugene,197.0,72.0,L,R,1957-04-16,1968-09-29
11524,marquru01,1886.0,10.0,9.0,Cleveland,USA,OH,1980.0,6.0,1.0,USA,MD,Baltimore,Rube,Marquard,Richard William,180.0,75.0,B,L,1908-09-25,1925-09-18
11598,martied01,1963.0,1.0,2.0,New York,USA,NY,,,,,,,Edgar,Martinez,Edgar,175.0,72.0,R,R,1987-09-12,2004-10-03
11640,martipe02,1971.0,10.0,25.0,Manoguayabo,D.R.,Distrito Nacional,,,,,,,Pedro,Martinez,Pedro Jaime,170.0,71.0,R,R,1992-09-24,2009-09-30
11710,mathech01,1880.0,8.0,12.0,Factoryville,USA,PA,1925.0,10.0,7.0,USA,NY,Saranac Lake,Christy,Mathewson,Christopher,195.0,73.0,R,R,1900-07-17,1916-09-04
11711,matheed01,1931.0,10.0,13.0,Texarkana,USA,TX,2001.0,2.0,18.0,USA,CA,La Jolla,Eddie,Mathews,Edwin Lee,190.0,73.0,L,R,1952-04-15,1968-09-27
